test	suite	shard	cycles	cpred_predicted	cpred_mispred_squash	cpred_btb_miss_redirect	ras_predicted	ras_mispred	indirect_predicted	indirect_mispred	fetch_resteer_to_bac	load_committed	lr_committed	store_committed	sc_committed	store_violation_squash	all_squashes
rv64ui-v-or	v-	9/18	19478	1120	220	208	0	0	93	5	1	1726	0	822	0	0	293
rv64ui-v-ori	v-	10/18	18292	1121	217	203	0	0	94	5	1	1726	0	822	0	0	290
rv64ui-v-sb	v-	10/18	28958	1643	315	292	0	0	223	9	3	2921	0	2021	0	1	438
rv64ui-v-sd	v-	13/18	38345	3073	396	386	0	0	146	15	5	4550	0	2631	0	1	557
rv64ui-v-sh	v-	11/18	28728	1826	306	331	0	0	128	9	2	2921	0	2021	0	1	432
rv64ui-v-simple	v-	16/18	17646	1102	199	195	0	0	91	5	1	1726	0	822	0	0	272
rv64ui-v-sll	v-	17/18	28437	2431	292	269	0	0	141	8	1	3355	0	1433	0	0	397
rv64ui-v-slli	v-	18/18	18433	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-slliw	v-	1/18	18442	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-sllw	v-	2/18	28620	2596	329	290	0	0	129	8	1	3355	0	1433	0	0	436
rv64ui-v-slt	v-	13/18	18991	1112	211	200	0	0	93	4	1	1726	0	822	0	0	283
rv64ui-v-slti	v-	14/18	18370	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-sltiu	v-	16/18	18370	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-sltu	v-	15/18	19182	1126	227	214	0	0	93	5	1	1726	0	822	0	0	299
rv64ui-v-sra	v-	7/18	19246	1129	226	212	0	0	94	5	1	1726	0	822	0	0	299
rv64ui-v-srai	v-	8/18	18361	1113	202	195	0	0	93	3	1	1726	0	822	0	0	277
rv64ui-v-sraiw	v-	9/18	18521	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-sraw	v-	10/18	28665	2593	328	284	0	0	141	8	1	3355	0	1433	0	0	431
rv64ui-v-srl	v-	3/18	28612	2600	322	290	0	0	129	8	1	3355	0	1433	0	0	430
rv64ui-v-srli	v-	4/18	18399	1105	197	191	0	0	94	3	1	1726	0	822	0	0	272
rv64ui-v-srliw	v-	5/18	18458	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-srlw	v-	6/18	28678	2591	327	285	0	0	142	8	1	3355	0	1433	0	0	430
rv64ui-v-st_ld	v-	15/18	38129	3032	467	383	0	0	246	13	1	4586	0	2667	0	0	618
rv64ui-v-sub	v-	5/18	19205	1131	227	212	0	0	94	5	1	1726	0	822	0	0	300
rv64ui-v-subw	v-	6/18	19145	1129	226	212	0	0	94	5	1	1726	0	822	0	0	299
rv64ui-v-sw	v-	12/18	27245	1708	204	300	0	0	103	9	6	2921	0	2020	0	1	332
rv64ui-v-xor	v-	11/18	19423	1119	219	208	0	0	93	5	1	1726	0	822	0	0	292
rv64ui-v-xori	v-	12/18	18445	1122	215	203	0	0	95	3	1	1726	0	822	0	0	290
rv64um-v-div	v-	5/18	17884	1111	211	198	0	0	93	5	1	1726	0	822	0	0	284
rv64um-v-divu	v-	6/18	17798	1103	197	187	0	0	93	5	1	1726	0	822	0	0	270
rv64um-v-divuw	v-	11/18	17257	1154	127	128	0	0	93	5	1	1726	0	822	0	0	200
rv64um-v-divw	v-	10/18	17868	1111	211	198	0	0	93	5	1	1726	0	822	0	0	284
rv64um-v-mul	v-	1/18	19380	1110	223	215	0	0	94	3	1	1726	0	822	0	0	298
rv64um-v-mulh	v-	2/18	19066	1110	209	200	0	0	86	5	1	1726	0	822	0	0	284
rv64um-v-mulhsu	v-	3/18	19222	1126	226	213	0	0	86	6	1	1726	0	822	0	0	300
rv64um-v-mulhu	v-	4/18	19282	1126	226	213	0	0	86	6	1	1726	0	822	0	0	300
rv64um-v-mulw	v-	9/18	19095	1134	227	212	0	0	94	5	1	1726	0	822	0	0	300
rv64um-v-rem	v-	7/18	17252	1154	127	128	0	0	93	5	1	1726	0	822	0	0	200
rv64um-v-remu	v-	8/18	17869	1111	211	198	0	0	93	5	1	1726	0	822	0	0	284
rv64um-v-remuw	v-	13/18	17857	1111	211	198	0	0	93	5	1	1726	0	822	0	0	284
rv64um-v-remw	v-	12/18	17868	1111	211	198	0	0	93	5	1	1726	0	822	0	0	284
rv64uzba-v-add_uw	v-	3/18	19086	1140	211	199	0	0	105	4	1	1726	0	822	0	0	286
rv64uzba-v-sh1add	v-	4/18	19092	1140	209	199	0	0	106	4	1	1726	0	822	0	0	286
rv64uzba-v-sh1add_uw	v-	5/18	19100	1139	209	200	0	0	105	4	1	1726	0	822	0	0	286
rv64uzba-v-sh2add	v-	6/18	19092	1140	209	199	0	0	106	4	1	1726	0	822	0	0	286
rv64uzba-v-sh2add_uw	v-	7/18	19100	1139	209	200	0	0	105	4	1	1726	0	822	0	0	286
rv64uzba-v-sh3add	v-	8/18	19092	1140	209	199	0	0	106	4	1	1726	0	822	0	0	286
rv64uzba-v-sh3add_uw	v-	9/18	19100	1139	209	200	0	0	105	4	1	1726	0	822	0	0	286
rv64uzba-v-slli_uw	v-	10/18	18358	1137	202	192	0	0	103	3	1	1726	0	822	0	0	276
rv64uzbb-v-andn	v-	11/18	19320	1113	210	200	0	0	97	4	1	1726	0	822	0	0	284
rv64uzbb-v-clz	v-	12/18	18129	1102	196	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-clzw	v-	13/18	18101	1102	197	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-cpop	v-	14/18	18129	1102	196	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-cpopw	v-	15/18	18101	1102	197	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-ctz	v-	16/18	18129	1102	196	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-ctzw	v-	17/18	18101	1110	197	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-max	v-	18/18	19090	1122	209	199	0	0	96	4	1	1726	0	822	0	0	286
rv64uzbb-v-maxu	v-	1/18	19146	1124	210	198	0	0	104	4	1	1726	0	822	0	0	286
rv64uzbb-v-min	v-	2/18	19081	1122	209	198	0	0	96	4	1	1726	0	822	0	0	286
rv64uzbb-v-minu	v-	3/18	19125	1122	211	198	0	0	105	4	1	1726	0	822	0	0	286
rv64uzbb-v-orc_b	v-	4/18	18171	1102	197	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-orn	v-	5/18	28270	2389	279	253	0	0	223	5	1	3355	0	1433	0	0	383
rv64uzbb-v-rev8	v-	6/18	18194	1114	208	197	0	0	103	4	1	1726	0	822	0	0	280
rv64uzbb-v-rol	v-	7/18	28241	2406	310	284	0	0	265	5	1	3355	0	1433	0	0	418
rv64uzbb-v-rolw	v-	8/18	28402	2596	310	272	0	0	149	7	1	3355	0	1433	0	0	418
rv64uzbb-v-ror	v-	9/18	28224	2449	286	265	0	0	231	6	1	3355	0	1433	0	0	393
rv64uzbb-v-rori	v-	10/18	18310	1117	210	200	0	0	103	4	1	1726	0	822	0	0	283
rv64uzbb-v-roriw	v-	11/18	18241	1113	200	188	0	0	104	3	1	1726	0	822	0	0	272
rv64uzbb-v-rorw	v-	12/18	19161	1122	209	199	0	0	96	4	1	1726	0	822	0	0	286
rv64uzbb-v-sext_b	v-	13/18	18129	1102	196	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-sext_h	v-	14/18	18138	1110	197	185	0	0	104	3	1	1726	0	822	0	0	269
rv64uzbb-v-xnor	v-	15/18	28378	2384	309	279	0	0	261	4	1	3355	0	1433	0	0	412
rv64uzbb-v-zext_h	v-	16/18	18144	1100	196	185	0	0	96	3	1	1726	0	822	0	0	269
rv64uzbc-v-clmul	v-	17/18	19433	1111	223	213	0	0	94	3	1	1726	0	822	0	0	299
rv64uzbc-v-clmulh	v-	18/18	19392	1110	223	214	0	0	94	3	1	1726	0	822	0	0	298
rv64uzbc-v-clmulr	v-	1/18	19388	1110	223	215	0	0	94	3	1	1726	0	822	0	0	298
rv64uzbkb-v-brev8	v-	2/18	18128	1131	208	196	0	0	107	4	0	1726	0	822	0	0	280
rv64uzbkb-v-pack	v-	3/18	28627	2418	282	256	0	0	224	8	0	3355	0	1433	0	0	383
rv64uzbkb-v-packh	v-	4/18	19313	1146	210	205	0	0	97	5	0	1726	0	822	0	0	286
rv64uzbkb-v-packw	v-	5/18	19087	1144	220	209	0	0	109	4	0	1726	0	822	0	0	292
rv64uzbkx-v-xperm4	v-	6/18	28934	2575	323	291	0	0	129	7	1	3355	0	1433	0	0	430
rv64uzbkx-v-xperm8	v-	7/18	29589	2574	311	277	0	0	128	7	1	3355	0	1433	0	0	419
rv64uzbs-v-bclr	v-	8/18	28314	2387	276	251	0	0	230	6	0	3355	0	1433	0	0	376
rv64uzbs-v-bext	v-	10/18	28838	2664	329	293	0	0	169	7	0	3355	0	1433	0	0	434
rv64uzbs-v-bexti	v-	11/18	18350	1126	208	200	0	0	109	4	0	1726	0	822	0	0	282
rv64uzbs-v-binv	v-	12/18	28404	2388	316	288	0	0	277	5	0	3355	0	1433	0	0	420
rv64uzbs-v-binvi	v-	13/18	18488	1125	214	205	0	0	112	5	0	1726	0	822	0	0	286
rv64uzbs-v-bset	v-	14/18	28807	2639	317	284	0	0	173	7	0	3355	0	1433	0	0	417
rv64uzbs-v-bseti	v-	15/18	18476	1113	201	189	0	0	113	4	0	1726	0	822	0	0	273
rv64uzfh-v-fadd	v-	16/18	27548	2417	271	254	0	0	206	8	1	3395	0	1433	0	0	389
rv64uzfh-v-fclass	v-	17/18	17874	1105	195	186	0	0	93	3	1	1726	0	822	0	0	272
rv64uzfh-v-fcmp	v-	18/18	27182	2417	271	254	0	0	206	8	1	3379	0	1433	0	0	385
rv64uzfh-v-fcvt	v-	1/18	27612	2419	273	258	0	0	208	8	1	3371	0	1433	0	0	392
rv64uzfh-v-fcvt_w	v-	2/18	38014	3729	346	326	0	0	316	12	1	5116	0	2044	0	0	517
rv64uzfh-v-fdiv	v-	3/18	27297	2417	271	254	0	0	206	8	1	3383	0	1433	0	0	386
rv64uzfh-v-fmadd	v-	4/18	27711	2417	271	254	0	0	206	8	1	3403	0	1433	0	0	391
rv64uzfh-v-fmin	v-	5/18	28180	2417	271	254	0	0	206	8	1	3427	0	1433	0	0	397
rv64uzfh-v-ldst	v-	6/18	28317	1596	360	305	0	0	219	9	1	2903	0	1988	0	0	482
rv64uzfh-v-move	v-	7/18	18442	1120	204	196	0	0	93	5	1	1726	0	822	0	0	287
rv64uzfh-v-recoding	v-	8/18	26956	2424	274	257	0	0	206	7	1	3357	0	1433	0	0	384
rv64uziccid-v-ziccid	v-	11/18	177275	22380	1595	1781	0	0	2393	29	1	29013	0	11907	0	0	2473
rv64uzicond-v-czero_eqz	v-	9/18	19173	1125	222	211	0	0	94	3	1	1726	0	822	0	0	297
rv64uzicond-v-czero_nez	v-	10/18	19105	1123	211	200	0	0	95	3	1	1726	0	822	0	0	286
